,clusters_anno,DC1,DC2
SS.sc7785089-0,AVE 5.5,0.06925711,0.006528082
SS.sc7785090-0,AVE 5.5,0.07246446,0.018536607
SS.sc7785091-0,AVE 5.5,0.006637514,0.052873213
SS.sc7785092-0,AVE 5.5,0.07460325,-0.044173885
SS.sc7785093-0,AVE 5.5,0.06672987,0.02520464
SS.sc7785094-0,AVE 5.5,0.055354517,-0.002297674
SS.sc7785097-0,AVE 5.5,0.027413823,0.02032349
SS.sc7785101-0,AVE 5.5,0.027074732,0.05096164
SS.sc7785105-0,AVE 5.5,0.06812745,0.022237778
SS.sc7785106-0,AVE 5.5,-0.058854472,0.056116007
SS.sc7785107-0,Epi-VE 5.5,-0.06167071,0.06118276
SS.sc7785110-0,AVE 5.5,0.048684668,-0.0029112499
SS.sc7785111-0,AVE 5.5,0.06026904,-0.006848817
SS.sc7785112-0,Epi-VE 5.5,-0.06369817,0.010414405
SS.sc7785113-0,Epi-VE 5.5,-0.053251617,-0.0029704615
SS.sc7785114-0,AVE 5.5,0.0210626,0.035848472
SS.sc7785115-0,AVE 5.5,-0.055524927,0.09764866
SS.sc7785116-0,AVE 5.5,0.06288538,-0.047257196
SS.sc7785117-0,AVE 5.5,0.013470465,0.03050754
SS.sc7785118-0,AVE 5.5,0.08795917,-0.050105296
SS.sc7785119-0,AVE 5.5,-0.058229033,0.114604145
SS.sc7785120-0,Epi-VE 5.5,-0.016348094,0.06429822
SS.sc7785121-0,AVE 5.5,0.041773573,0.00919057
SS.sc7785123-0,Epi-VE 5.5,-0.0348411,0.092336975
SS.sc7785124-0,AVE 5.5,0.0605359,0.031735446
SS.sc7785136-0,AVE 5.5,0.033762272,0.051087663
SS.sc7785137-0,Epi-VE 5.5,-0.0242653,0.050669763
SS.sc7785139-0,AVE 5.5,0.021863608,0.041440375
SS.sc7785140-0,AVE 5.5,0.045816164,0.02543002
SS.sc7785141-0,AVE 5.5,0.04405448,0.034557465
SS.sc7785142-0,AVE 5.5,0.05242098,0.017535869
SS.sc7785143-0,Epi-VE 5.5,-0.019351901,0.056662835
SS.sc7785145-0,AVE 5.5,0.055155434,0.031608652
SS.sc7785148-0,AVE 5.5,-0.03539373,0.035925876
SS.sc7785153-0,Epi-VE 5.5,-0.03932374,0.035633996
SS.sc7785156-0,Epi-VE 5.5,-0.07551138,0.09886941
SS.sc7785157-0,Epi-VE 5.5,-0.058502983,0.09062322
SS.sc7785158-0,AVE 5.5,0.05693809,0.026788276
SS.sc7785160-0,Epi-VE 5.5,-0.042075135,0.08327015
SS.sc7785162-0,Epi-VE 5.5,-0.07947722,0.009314341
SS.sc7785164-0,Epi-VE 5.5,-0.0793204,0.0152634755
SS.sc7785165-0,AVE 5.5,0.04757805,0.005820474
SS.sc7785166-0,AVE 5.5,0.030547606,0.012853383
SS.sc7785168-0,AVE 5.5,0.03568074,0.04532317
SS.sc7785172-0,Epi-VE 5.5,-0.051259167,0.016881363
SS.sc7785180-0,AVE 5.5,0.07045529,-0.039059963
SS.sc7785183-0,AVE 5.5,0.06398922,0.014543743
SS.sc7785184-0,AVE 5.5,-0.0074118185,0.06852365
SS.sc7785185-0,Epi-VE 5.5,-0.08946131,-0.011016799
SS.sc7785188-0,AVE 5.5,-0.029475505,0.009219276
SS.sc7785190-0,AVE 5.5,0.029475117,0.040235117
SS.sc7785192-0,AVE 5.5,-0.009045173,0.030199017
SS.sc7785197-0,AVE 5.5,-0.059518725,0.013824028
SS.sc7785200-0,Epi-VE 5.5,-0.0876322,-0.03528924
SS.sc7785203-0,AVE 5.5,0.055635415,-0.03416946
SS.sc7785204-0,AVE 5.5,0.0591341,-0.024536712
SS.sc7785205-0,Epi-VE 5.5,-0.054722633,0.01938234
SS.sc7785206-0,AVE 5.5,-0.042241547,0.025957748
SS.sc7785208-0,AVE 5.5,-0.0015470919,-0.010625768
SS.sc7785209-0,Epi-VE 5.5,-0.067403115,0.091801256
SS.sc7785211-0,Epi-VE 5.5,0.06225736,0.013511284
SS.sc7785212-0,AVE 5.5,0.05711564,0.032467246
SS.sc7785213-0,AVE 5.5,0.05974237,0.00016049345
SS.sc7785214-0,AVE 5.5,-0.03782664,0.0512075
SS.sc7785215-0,Epi-VE 5.5,-0.050984867,0.09658513
