index,clusters_anno,DC1,DC2
SS.sc7785140,AVE,-0.082956634,0.028539125
SS.sc7785141,AVE,-0.06475463,0.011033307
SS.sc7785142,AVE,-0.053196386,0.1073176
SS.sc7785143,emVE,0.08669758,0.0027901786
SS.sc7785145,AVE,-0.012429076,0.06334775
SS.sc7785148,AVE,0.07496153,0.007242026
SS.sc7785153,emVE,0.019398708,0.032693777
SS.sc7785156,emVE,0.11197434,-0.013123065
SS.sc7785157,emVE,0.09347583,-0.014823492
SS.sc7785158,AVE,-0.061118457,0.015216307
SS.sc7785160,emVE,0.05973835,-0.015694937
SS.sc7785162,emVE,0.116512254,-0.04167717
SS.sc7785164,emVE,0.11770931,-0.023879943
SS.sc7785165,AVE,-0.07462977,0.051863488
SS.sc7785166,AVE,-0.07101207,0.054139953
SS.sc7785168,AVE,-0.070457645,-0.22698155
SS.sc7785172,emVE,0.05076549,-0.00054496125
SS.sc7785180,AVE,-0.06454785,0.06650985
SS.sc7785183,AVE,-0.09099192,0.008233912
SS.sc7785184,AVE,-0.06365452,0.008558026
SS.sc7785185,emVE,0.10322144,-0.051617753
SS.sc7785188,AVE,-0.042825326,0.06389228
SS.sc7785190,AVE,-0.058184605,0.10654706
SS.sc7785192,AVE,-0.0056973393,-0.04744155
SS.sc7785197,AVE,-0.016744837,0.0921037
SS.sc7785200,emVE,0.07743366,0.0039759143
SS.sc7785203,AVE,-0.07786371,0.05049455
SS.sc7785204,AVE,-0.058890495,0.118617654
SS.sc7785205,emVE,0.09768797,0.022891399
SS.sc7785206,AVE,-0.011382987,0.03627003
SS.sc7785208,AVE,-0.056729306,0.047944877
SS.sc7785209,emVE,0.09780067,-0.025449947
SS.sc7785211,emVE,-0.079292566,-0.24203542
SS.sc7785212,AVE,-0.06678641,0.11501606
SS.sc7785213,AVE,-0.07232787,0.044402093
SS.sc7785214,AVE,0.03616798,0.07194736
SS.sc7785215,emVE,0.099570885,0.0018866016
SS.sc7785217,emVE,0.12184305,-0.029902628
SS.sc7785218,emVE,0.08965175,-0.0341792
SS.sc7785231,emVE,0.046413556,-0.048438232
SS.sc7785234,emVE,0.10956888,-0.030697357
SS.sc7785237,AVE,-0.094465256,0.040429883
SS.sc7785239,emVE,0.08956949,0.012213763
SS.sc7785241,AVE,0.10208445,0.01132233
SS.sc7785242,AVE,-0.06601545,0.085570395
SS.sc7785245,AVE,-0.083813444,-0.05188962
SS.sc7785255,emVE,-0.021839948,0.11107624
SS.sc7785257,AVE,0.08499387,0.010837032
SS.sc7785259,AVE,-0.017771956,-0.003471741
SS.sc7785267,AVE,-0.07745476,-0.013425613
SS.sc7785269,emVE,0.121713795,-0.039589096
